Event Type,Games Occurred,Percentage of Games
Groundout,2416,99.55%
Strikeout,2416,99.55%
Single,2416,99.55%
Pitching Substitution,2416,99.55%
Flyout,2415,99.51%
Walk,2408,99.22%
Lineout,2366,97.49%
Double,2316,95.43%
Pop Out,2311,95.22%
Home Run,2174,89.58%
Offensive Substitution,1999,82.37%
Defensive Switch,1889,77.83%
Grounded Into DP,1853,76.35%
Forceout,1852,76.31%
Game Advisory,1510,62.22%
Stolen Base 2B,1488,61.31%
Defensive Sub,1378,56.78%
Hit By Pitch,1377,56.74%
Wild Pitch,1065,43.88%
Sac Fly,918,37.82%
Field Error,844,34.78%
Triple,593,24.43%
Caught Stealing 2B,455,18.75%
Stolen Base 3B,422,17.39%
Intent Walk,385,15.86%
Sac Bunt,379,15.62%
Double Play,358,14.75%
Fielders Choice,341,14.05%
Fielders Choice Out,263,10.84%
Runner Placed On Base,201,8.28%
Defensive Indiff,194,7.99%
Passed Ball,191,7.87%
Ejection,189,7.79%
,185,7.62%
Balk,169,6.96%
Bunt Groundout,151,6.22%
Pickoff 1B,142,5.85%
Pickoff Caught Stealing 2B,127,5.23%
Strikeout Double Play,97,4.00%
Catcher Interference,89,3.67%
Bunt Pop Out,80,3.30%
Injury,73,3.01%
Pickoff Error 1B,72,2.97%
Caught Stealing 3B,70,2.88%
Runner Out,52,2.14%
Error,34,1.40%
Pickoff Error 2B,31,1.28%
Disengagement Violation,26,1.07%
Sac Fly Double Play,24,0.99%
Caught Stealing Home,21,0.87%
Pickoff 2B,20,0.82%
Pickoff Caught Stealing 3B,20,0.82%
Umpire Substitution,13,0.54%
Pickoff 3B,10,0.41%
Stolen Base Home,9,0.37%
Bunt Lineout,7,0.29%
Pickoff Error 3B,7,0.29%
Pickoff Caught Stealing Home,2,0.08%
Field Out,1,0.04%
Other Advance,1,0.04%
Triple Play,1,0.04%
