Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Double,False,1,Top,1,0,0,,,,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
Groundout,False,1,Top,2,0,0,,669242,,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
Home Run,False,1,Top,3,0,1,,669242,,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
Groundout,False,1,Top,4,-2,1,,,,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
Single,False,1,Top,5,-2,2,,,,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
Forceout,False,1,Top,6,-2,2,,,575929,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
Groundout,False,1,Bot,7,-2,0,,,,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
Double,False,1,Bot,8,-2,1,,,,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
Strikeout,False,1,Bot,9,-2,1,,607208,,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
Strikeout,False,1,Bot,10,-2,2,,607208,,650911,571945,656941,669242,607208,641933,547180,502671,592206,571448,681082,575929,664761,668800,669016,691023,595909,600301,596117,691026,547180,575929,596117,668800,595909,502671,681082,600301,664761,571448,607208,691026,656941,641933,669016,669242,592206,691023
