2024-11-05 15:15:52,349 - Starting scraping of 2427 games
2024-11-05 15:15:52,395 - Game 718768 already scraped, skipping.
2024-11-05 15:15:52,396 - Game 718769 already scraped, skipping.
2024-11-05 15:15:52,397 - Game 718772 already scraped, skipping.
2024-11-05 15:15:52,403 - Game 718777 already scraped, skipping.
2024-11-05 15:15:52,407 - Game 718770 already scraped, skipping.
2024-11-05 15:15:52,413 - Game 718767 already scraped, skipping.
2024-11-05 15:15:52,415 - Game 718774 already scraped, skipping.
2024-11-05 15:15:52,420 - Game 718780 already scraped, skipping.
2024-11-05 15:15:52,424 - Game 718778 already scraped, skipping.
2024-11-05 15:15:52,429 - Game 718779 already scraped, skipping.
2024-11-05 15:15:52,429 - Game 718776 already scraped, skipping.
2024-11-05 15:15:52,435 - Game 718782 already scraped, skipping.
2024-11-05 15:15:52,439 - Game 718773 already scraped, skipping.
2024-11-05 15:15:52,444 - Game 718775 already scraped, skipping.
2024-11-05 15:15:52,448 - Game 718781 already scraped, skipping.
2024-11-05 15:15:52,453 - Game 718764 already scraped, skipping.
2024-11-05 15:15:52,458 - Game 718765 already scraped, skipping.
2024-11-05 15:15:52,462 - Game 718763 already scraped, skipping.
2024-11-05 15:15:52,467 - Game 718771 already scraped, skipping.
2024-11-05 15:15:52,472 - Game 718766 already scraped, skipping.
2024-11-05 15:15:52,476 - Game 718760 already scraped, skipping.
2024-11-05 15:15:52,476 - Game 718757 already scraped, skipping.
2024-11-05 15:15:52,480 - Game 718759 already scraped, skipping.
2024-11-05 15:15:52,485 - Game 718758 already scraped, skipping.
2024-11-05 15:15:52,485 - Game 718749 already scraped, skipping.
2024-11-05 15:15:52,490 - Game 718746 already scraped, skipping.
2024-11-05 15:15:52,493 - Game 718755 already scraped, skipping.
2024-11-05 15:15:52,498 - Game 718753 already scraped, skipping.
2024-11-05 15:15:52,498 - Game 718750 already scraped, skipping.
2024-11-05 15:15:52,498 - Game 718752 already scraped, skipping.
2024-11-05 15:15:52,503 - Game 718754 already scraped, skipping.
2024-11-05 15:15:52,503 - Game 718761 already scraped, skipping.
2024-11-05 15:15:52,507 - Game 718756 already scraped, skipping.
2024-11-05 15:15:52,512 - Game 718751 already scraped, skipping.
2024-11-05 15:15:52,512 - Game 718762 already scraped, skipping.
2024-11-05 15:15:52,512 - Game 718740 already scraped, skipping.
2024-11-05 15:15:52,517 - Game 718734 already scraped, skipping.
2024-11-05 15:15:52,517 - Game 718737 already scraped, skipping.
2024-11-05 15:15:52,517 - Game 718738 already scraped, skipping.
2024-11-05 15:15:52,517 - Game 718736 already scraped, skipping.
2024-11-05 15:15:52,517 - Game 718735 already scraped, skipping.
2024-11-05 15:15:52,518 - Game 718741 already scraped, skipping.
2024-11-05 15:15:52,518 - Game 718743 already scraped, skipping.
2024-11-05 15:15:52,518 - Game 718733 already scraped, skipping.
2024-11-05 15:15:52,518 - Game 718739 already scraped, skipping.
2024-11-05 15:15:52,518 - Game 718742 already scraped, skipping.
2024-11-05 15:16:02,087 - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /session/31422060a3b5779a9fbe18058dbf4bb0
2024-11-05 15:16:02,088 - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104393cd0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/31422060a3b5779a9fbe18058dbf4bb0
2024-11-05 15:16:02,089 - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104393d00>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/31422060a3b5779a9fbe18058dbf4bb0
