home_team,away_team,year,month,day,game_pk,home_abbr,away_abbr,box_url,summary_url,home_pitchers,away_pitchers,home_batters,away_batters,home_position_players,away_position_players
astros,white-sox,2023,3,30,718768,HOU,CWS,https://www.mlb.com/gameday/white-sox-vs-astros/2023/03/30/718768/final/box,https://www.mlb.com/gameday/white-sox-vs-astros/2023/03/30/718768/final/summary/all,664285(Top1)/650556(Top6)/593576(Top7)/606160(Top8)/519151(Top9),656302(Bot1)/607481(Bot7)/608665(Bot8)/625643(Bot9),665161(Bot1)/608324(Bot1)/670541(Bot1)/547989(Bot1)/663656(Bot2)/673237(Bot2)/676694(Bot2)/455117(Bot3)/643289(Bot3),641313(Top1)/673357(Top1)/683734(Top1)/650391(Top1)/660162(Top2)/643217(Top2)/518735(Top2)/462101(Top3)/663853(Top3)/693049(Top7),455117(Top1)(c)-547989(Top1)(1b)-643289(Top1)(2b)-608324(Top1)(3b)-665161(Top1)(ss)-670541(Top1)(lf)-676694(Top1)(cf)-663656(Top1)(rf),518735(Bot1)(c)-683734(Bot1)(1b)-462101(Bot1)(2b)-660162(Bot1)(3b)-641313(Bot1)(ss)-643217(Bot1)(lf)-673357(Bot1)(cf)-663853(Bot1)(rf)/693049(Bot7)(rf)
athletics,angels,2023,3,30,718769,OAK,LAA,https://www.mlb.com/gameday/angels-vs-athletics/2023/03/30/718769/final/box,https://www.mlb.com/gameday/angels-vs-athletics/2023/03/30/718769/final/summary/all,666205(Top1)/667427(Top6)/642758(Top7)/543507(Top8)/666204(Top9),660271(Bot1)/623474(Bot7)/571901(Bot8)/572193(Bot8),643393(Bot1)/668843(Bot1)/649557(Bot1)/664913(Bot1)/542583(Bot2)/657656(Bot2)/607054(Bot2)/669127(Bot3)/665923(Bot3)/667670(Bot8)/669397(Bot8)/676116(Bot8),621493(Top1)/545361(Top1)/660271(Top1)/543685(Top2)/592669(Top2)/650859(Top2)/592273(Top3)/570482(Top3)/681351(Top3)/621433(Top9),669127(Top1)(c)-542583(Top1)(1b)-643393(Top1)(2b)-607054(Top1)(3b)-649557(Top1)(ss)-664913(Top1)(lf)-665923(Top1)(cf)-657656(Top1)(rf)/676116(Top9)(1b)-669397(Top9)(ss),681351(Bot1)(c)-592273(Bot1)(1b)-650859(Bot1)(2b)-543685(Bot1)(3b)-570482(Bot1)(ss)-621493(Bot1)(lf)-545361(Bot1)(cf)-592669(Bot1)(rf)
cardinals,blue-jays,2023,3,30,718772,STL,TOR,https://www.mlb.com/gameday/blue-jays-vs-cardinals/2023/03/30/718772/final/box,https://www.mlb.com/gameday/blue-jays-vs-cardinals/2023/03/30/718772/final/summary/all,571945(Top1)/668868(Top4)/572403(Top6)/669467(Top6)/663855(Top8)/664854(Top9),666201(Bot1)/647315(Bot4)/657024(Bot5)/641835(Bot6)/542914(Bot6)/643256(Bot7)/554340(Bot8)/605447(Bot9),680977(Bot1)/663457(Bot1)/502671(Bot1)/571448(Bot1)/575929(Bot1)/641933(Bot1)/669357(Bot2)/691023(Bot2)/669242(Bot2)/668800(Bot8),543807(Top1)/666182(Top1)/665489(Top1)/662139(Top1)/672386(Top1)/474832(Top1)/656305(Top1)/593160(Top1)/595281(Top2)/664770(Top7)/624415(Top8),575929(Top1)(c)-502671(Top1)(1b)-680977(Top1)(2b)-571448(Top1)(3b)-669242(Top1)(ss)-663457(Top1)(lf)-641933(Top1)(cf)-691023(Top1)(rf)/668800(Top8)(c),672386(Bot1)(c)-665489(Bot1)(1b)-593160(Bot1)(2b)-656305(Bot1)(3b)-666182(Bot1)(ss)-662139(Bot1)(lf)-595281(Bot1)(cf)-543807(Bot1)(rf)
cubs,brewers,2023,3,30,718777,CHC,MIL,https://www.mlb.com/gameday/brewers-vs-cubs/2023/03/30/718777/final/box,https://www.mlb.com/gameday/brewers-vs-cubs/2023/03/30/718777/final/summary/all,573186(Top1)/624522(Top7)/502202(Top8)/605242(Top9),669203(Bot1)/657265(Bot6)/681402(Bot7)/642770(Bot8),663538(Bot1)/621020(Bot1)/664023(Bot1)/641355(Bot1)/641820(Bot2)/543228(Bot2)/543333(Bot2)/621550(Bot3)/670156(Bot3),592885(Top1)/608385(Top1)/642715(Top1)/642133(Top1)/661388(Top1)/649966(Top2)/669003(Top2)/605119(Top2)/668930(Top3),543228(Top1)(c)-543333(Top1)(1b)-663538(Top1)(2b)-621550(Top1)(3b)-621020(Top1)(ss)-664023(Top1)(lf)-641355(Top1)(cf)-670156(Top1)(rf),661388(Bot1)(c)-642133(Bot1)(1b)-668930(Bot1)(2b)-649966(Bot1)(3b)-642715(Bot1)(ss)-592885(Bot1)(lf)-669003(Bot1)(cf)-605119(Bot1)(rf)
dodgers,d-backs,2023,3,30,718770,LAD,AZ,https://www.mlb.com/gameday/d-backs-vs-dodgers/2023/03/30/718770/final/box,https://www.mlb.com/gameday/d-backs-vs-dodgers/2023/03/30/718770/final/summary/all,628711(Top1)/641360(Top7)/571946(Top8)/622075(Top9),668678(Bot1)/642121(Bot5)/669459(Bot6)/672841(Bot7)/656464(Bot8),605141(Bot1)/518692(Bot1)/669257(Bot1)/571970(Bot1)/502110(Bot2)/444482(Bot2)/678246(Bot2)/681546(Bot3)/500743(Bot3),641786(Top1)/606466(Top1)/666971(Top1)/572233(Top1)/446334(Top1)/605113(Top2)/682998(Top2)/672515(Top2)/664983(Top2),669257(Top1)(c)-518692(Top1)(1b)-678246(Top1)(2b)-571970(Top1)(3b)-500743(Top1)(ss)-444482(Top1)(lf)-681546(Top1)(cf)-605141(Top1)(rf),672515(Bot1)(c)-572233(Bot1)(1b)-606466(Bot1)(2b)-446334(Bot1)(3b)-605113(Bot1)(ss)-666971(Bot1)(lf)-682998(Bot1)(cf)-664983(Bot1)(rf)
mariners,guardians,2023,3,30,718767,SEA,CLE,https://www.mlb.com/gameday/guardians-vs-mariners/2023/03/30/718767/final/box,https://www.mlb.com/gameday/guardians-vs-mariners/2023/03/30/718767/final/summary/all,622491(Top1)/666374(Top7)/623149(Top8)/662253(Top9),669456(Bot1)/663986(Bot7)/675916(Bot8)/660853(Bot8),677594(Bot1)/543939(Bot1)/664034(Bot1)/606192(Bot1)/663728(Bot2)/553993(Bot2)/672284(Bot2)/600303(Bot2)/641487(Bot3),680757(Top1)/642708(Top1)/608070(Top1)/605137(Top2)/647304(Top2)/665926(Top2)/686823(Top3)/572287(Top3)/664702(Top3),663728(Top1)(c)-664034(Top1)(1b)-543939(Top1)(2b)-553993(Top1)(3b)-641487(Top1)(ss)-672284(Top1)(lf)-677594(Top1)(cf)-606192(Top1)(rf),572287(Bot1)(c)-647304(Bot1)(1b)-665926(Bot1)(2b)-608070(Bot1)(3b)-642708(Bot1)(ss)-680757(Bot1)(lf)-664702(Bot1)(cf)-686823(Bot1)(rf)
marlins,mets,2023,3,30,718774,MIA,NYM,https://www.mlb.com/gameday/mets-vs-marlins/2023/03/30/718774/final/box,https://www.mlb.com/gameday/mets-vs-marlins/2023/03/30/718774/final/summary/all,645261(Top1)/677053(Top6)/656945(Top7)/608638(Top7)/623211(Top8),453286(Bot1)/622098(Bot7)/548384(Bot8)/502085(Bot9),650333(Bot1)/516416(Bot1)/643265(Bot1)/665862(Bot2)/624585(Bot2)/541645(Bot2)/650559(Bot3)/607732(Bot3)/621563(Bot3)/542932(Bot8),607043(Top1)/516782(Top1)/596019(Top1)/624413(Top2)/643446(Top2)/592192(Top2)/596129(Top3)/500871(Top3)/553882(Top3)/502054(Top7),607732(Top1)(c)-643265(Top1)(1b)-650333(Top1)(2b)-516416(Top1)(3b)-621563(Top1)(ss)-650559(Top1)(lf)-665862(Top1)(cf)-541645(Top1)(rf)/542932(Top9)(ss),553882(Bot1)(c)-624413(Bot1)(1b)-643446(Bot1)(2b)-500871(Bot1)(3b)-596019(Bot1)(ss)-592192(Bot1)(lf)-607043(Bot1)(cf)-516782(Bot1)(rf)
nationals,braves,2023,3,30,718780,WSH,ATL,https://www.mlb.com/gameday/braves-vs-nationals/2023/03/30/718780/final/box,https://www.mlb.com/gameday/braves-vs-nationals/2023/03/30/718780/final/summary/all,571578(Top1)/541640(Top4)/666168(Top6)/640451(Top8)/640448(Top9),608331(Bot1)/476595(Bot4)/445926(Bot5)/669276(Bot6)/543521(Bot7)/621345(Bot9),657041(Bot1)/608841(Bot1)/600869(Bot1)/642086(Bot2)/660688(Bot2)/669743(Bot2)/671277(Bot2)/645302(Bot2)/682928(Bot3)/572816(Bot8),660670(Top1)/621566(Top1)/663586(Top1)/645277(Top1)/669221(Top1)/542303(Top2)/671739(Top2)/518595(Top2)/606115(Top2)/656541(Top9),660688(Top1)(c)-642086(Top1)(1b)-671277(Top1)(2b)-600869(Top1)(3b)-682928(Top1)(ss)-669743(Top1)(lf)-645302(Top1)(cf)-657041(Top1)(rf)/572816(Top9)(lf),669221(Bot1)(c)-621566(Bot1)(1b)-645277(Bot1)(2b)-663586(Bot1)(3b)-606115(Bot1)(ss)-542303(Bot1)(lf)-671739(Bot1)(cf)-660670(Bot1)(rf)/656541(Bot7)(lf)
padres,rockies,2023,3,30,718778,SD,COL,https://www.mlb.com/gameday/rockies-vs-padres/2023/03/30/718778/final/box,https://www.mlb.com/gameday/rockies-vs-padres/2023/03/30/718778/final/summary/all,605483(Top1)/622503(Top5)/593619(Top7)/621051(Top9),608566(Bot1)/659275(Bot7)/664875(Bot8)/656234(Bot9),663757(Bot1)/665742(Bot1)/592518(Bot1)/593428(Bot1)/630105(Bot1)/572761(Bot2)/543592(Bot2)/673490(Bot2)/621311(Bot3),602074(Top1)/592178(Top1)/453568(Top1)/543068(Top1)/660707(Top1)/641857(Top1)/553869(Top2)/605612(Top2)/678662(Top2),543592(Top1)(c)-630105(Top1)(1b)-673490(Top1)(2b)-592518(Top1)(3b)-593428(Top1)(ss)-665742(Top1)(lf)-663757(Top1)(cf)-621311(Top1)(rf),553869(Bot1)(c)-543068(Bot1)(1b)-641857(Bot1)(2b)-660707(Bot1)(3b)-678662(Bot1)(ss)-605612(Bot1)(lf)-602074(Bot1)(cf)-592178(Bot1)(rf)/676701(Bot9)(3b)
rangers,phillies,2023,3,30,718779,TEX,PHI,https://www.mlb.com/gameday/phillies-vs-rangers/2023/03/30/718779/final/box,https://www.mlb.com/gameday/phillies-vs-rangers/2023/03/30/718779/final/summary/all,594798(Top1)/666142(Top4)/656271(Top5)/642546(Top7)/600917(Top9),605400(Bot1)/642397(Bot4)/641401(Bot4)/607755(Bot5)/571479(Bot7)/621381(Bot8),543760(Bot1)/608369(Bot1)/663993(Bot1)/666969(Bot1)/673962(Bot2)/641680(Bot2)/543257(Bot2)/543543(Bot3)/669701(Bot3)/669352(Bot5),607208(Top1)/656941(Top1)/592663(Top1)/669742(Top2)/592206(Top2)/681082(Top2)/664761(Top2)/595909(Top2)/669016(Top3),641680(Top1)(c)-663993(Top1)(1b)-543760(Top1)(2b)-673962(Top1)(3b)-608369(Top1)(ss)-669701(Top1)(lf)-666969(Top1)(cf)-543257(Top1)(rf)/669352(Top6)(cf),592663(Bot1)(c)-669742(Bot1)(1b)-681082(Bot1)(2b)-664761(Bot1)(3b)-607208(Bot1)(ss)-595909(Bot1)(lf)-669016(Bot1)(cf)-592206(Bot1)(rf)
